Value,Label
yes we praise women over for a multitude of reasons unfortunately its not reciprocal for every stunning smart wellcoiffed hot,English
youve got about as much charm as a dead slug youve got about as much charm as a dead slug,English
Tara sapana sabai sapana nai ho ki Sapana ma ramne ma sapana ko poki Sapana liyi hinne ma sapana lai pokhi Tara sapana sabai sapana nai ho ki Sapana ma ramne ma sapana ko poki,RomanNep
if you dont know where youre going any roadll take you there if you dont know where youre going any,English
sadhai dinchhu dheraile bolchhan sadhai dinchhu sukha rah dukha maasdinchhu sadhai sadhai dinchhu dheraile bolchhan sadhai dinchhu sukha rah dukha,RomanNep
Des natra bikas Des samalney baktitwo cheti Des natra bikas Des samalney baktitwo cheti Des natra bikas Des samalney baktitwo,RomanNep
we have to allow ourselves to be loved by the people who really love us the people who really matter,English
the best books are those that tell you what you know already the best books are those that tell you,English
never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed if,English
time flies like an arrow fruit flies like a banana time flies like an arrow fruit flies like a banana,English
the past beats inside me like a second heart the past beats inside me like a second heart the past,English
whatever it is youre seeking wont come in the form youre expecting whatever it is youre seeking wont come in,English
never say goodbye because goodbye means going away and going away means forgetting never say goodbye because goodbye means going,English
by the pricking of my thumbs something wicked this way comes by the pricking of my thumbs something wicked this,English
will looked horrified what kind of monster could possibly hate chocolate will looked horrified what kind of monster could possibly,English
there are books of which the backs and covers are by far the best parts there are books of which,English
Binaskari krod aile dharti bali lhidai dharti devi jharki Binaskari krod aile Binaskari krod aile dharti bali lhidai dharti devi,RomanNep
it is not a lack of love but a lack of friendship that makes unhappy marriages it is not a,English
if youre going to try go all the way otherwise dont even start this could mean losing girlfriends wives relatives,English
if i can stop one heart from breaking i shall not live in vain if i can stop one heart,English
fear doesnt shut you down it wakes you up fear doesnt shut you down it wakes you up fear doesnt,English
stories may well be lies but they are good lies that say true things and which can sometimes pay the,English
Taw sap dhoka diyeu paschim astaucha birami bhayepachi school janapardaina Taw Taw sap dhoka diyeu paschim astaucha birami bhayepachi school,RomanNep
Aau bajaideu bhagne bola Aau bajaideu Aau bajaideu bhagne bola Aau bajaideu Aau bajaideu bhagne bola Aau bajaideu Aau bajaideu,RomanNep
the silence depressed me it wasnt the silence of silence it was my own silence the silence depressed me it,English
Afno maan pyaro Usko hos Usko phone mukh ujyalo Afno maan pyaro Usko hos Usko phone mukh ujyalo Afno maan,RomanNep
Roc sakchas vaney roc Rakh kand boj BAAL terai gako Roc Roc sakchas vaney roc Rakh kand boj BAAL terai,RomanNep
as it has been saidlove and a coughcannot be concealedeven a small cougheven a small love as it has been,English
Vitranai vhul momo napaine hora samman Vitranai Vitranai vhul momo napaine hora samman Vitranai Vitranai vhul momo napaine hora samman,RomanNep
the first draft of anything is shit the first draft of anything is shit the first draft of anything is,English
live the life of your dreams be brave enough to live the life of your dreams according to your vision,English
without deviation from the norm progress is not possible without deviation from the norm progress is not possible without deviation,English
i wonder if the snow loves the trees and fields that it kisses them so gently and then it covers,English
dont walk in front of me i may not followdont walk behind me i may not leadwalk beside me just,English
success is stumbling from failure to failure with no loss of enthusiasm success is stumbling from failure to failure with,English
friendship is born at the moment when one man says to another what you too i thought that no one,English
you cannot swim for new horizons until you have courage to lose sight of the shore you cannot swim for,English
Aati deni arey bhaachaina Sachey pugcha arey paachaina Manchey tuccha teslai teti laj lagdaina Aati deni arey bhaachaina Sachey pugcha,RomanNep
books are the quietest and most constant of friends they are the most accessible and wisest of counselors and the,English
i have come to accept the feeling of not knowing where i am going and i have trained myself to,English
a clever person solves a problem a wise person avoids it a clever person solves a problem a wise person,English
you know the world is going crazy when the best rapper is a white guy the best golfer is a,English
Mukhya patto gumau chan AAMA Tes Pachi vokh kaha metidaina khaney Khana Yo hamlai mitrata kacho Mukhya patto gumau chan,RomanNep
golo bhela Ta bheda bro Sun bhasan keta golo golo bhela Ta bheda bro Sun bhasan keta golo golo bhela,RomanNep
kharab prabirty ago parey rujincha kharab prabirty kharab prabirty ago parey rujincha kharab prabirty kharab prabirty ago parey rujincha kharab,RomanNep
throw your dreams into space like a kite and you do not know what it will bring back a new,English
do not train a child to learn by force or harshness but direct them to it by what amuses their,English
Sabera bihana Bagmati kinar Chandan nidhar Thokeyra bihan hagnai paina Sabera bihana Bagmati kinar Sabera bihana Bagmati kinar Chandan nidhar,RomanNep
you have enemies good that means youve stood up for something sometime in your life you have enemies good that,English
indifference and neglect often do much more damage than outright dislike indifference and neglect often do much more damage than,English
heres to the crazy ones the misfits the rebels the troublemakers the round pegs in the square holes the ones,English
anxiety is the dizziness of freedom anxiety is the dizziness of freedom anxiety is the dizziness of freedom anxiety is,English
the world is a dangerous place to live not because of the people who are evil but because of the,English
dont justdont just learn experiencedont just read absorbdont just change transformdont just relate advocatedont just promise provedont just criticize encouragedont,English
pain is inevitable suffering is optional pain is inevitable suffering is optional pain is inevitable suffering is optional pain is,English
the chinese use two brush strokes to write the word crisis one brush stroke stands for danger the other for,English
Teti vau paudina nikalda Afnai jeet bisal mani eti haaseko Teti vau paudina Teti vau paudina nikalda Afnai jeet bisal,RomanNep
aafai besahara vaye jannu tejab jhari birsiye sayog aafai besahara vaye jannu tejab jhari birsiye sayog aafai besahara vaye jannu,RomanNep
Harmro menat amulya pahichan Harmro menat amulya Harmro menat amulya pahichan Harmro menat amulya Harmro menat amulya pahichan Harmro menat,RomanNep
whoever is careless with the truth in small matters cannot be trusted with important matters whoever is careless with the,English
we are all alone born alone die alone andin spite of true romance magazineswe shall all someday look back on,English
great minds discuss ideas average minds discuss events small minds discuss people great minds discuss ideas average minds discuss events,English
the greatness of a man is not in how much wealth he acquires but in his integrity and his ability,English
she refused to be bored chiefly because she wasnt boring she refused to be bored chiefly because she wasnt boring,English
Harek yantra pachadi ek manusya ko hat cha Harek naya paila pachi ujjwal vabisya ko ash cha Yeah Bikrit rokau hami,RomanNep
if he loved with all the powers of his puny being he couldnt love as much in eighty years as,English
let us read and let us dance these two amusements will never do any harm to the world let us,English
well shes not responding to my advances he observed more brightly than he felt so she must be dead or,English
dont let the bastards grind you down dont let the bastards grind you down dont let the bastards grind you,English
do you want to know who you are dont ask act action will delineate and define you do you want,English
why are they all staring demanded albus as he and rose craned around to look at the other studentsdont let,English
there is only one thing that makes a dream impossible to achieve the fear of failure there is only one,English
